Fund Holdings as of,"27 mar. 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AENA","AENA SME SA","Bens Industriais","Equity","23 938 932,60","0,17","23 938 932,60","934 020,00","25,63","Espanha","Bolsa De Madrid","EUR"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Bens Industriais","Equity","23 509 400,00","0,17","23 509 400,00","229 360,00","102,50","Espanha","Bolsa De Madrid","EUR"
"STMPA","STMICROELECTRONICS NV","Tecnologia de informação","Equity","23 486 837,27","0,17","23 486 837,27","823 955,00","28,50","França","Nyse Euronext - Euronext Paris","EUR"
"HEIA","HEINEKEN NV","Bens de primeira necessidade","Equity","23 459 750,28","0,17","23 459 750,28","360 033,00","65,16","Holanda","Euronext Amsterdam","EUR"
"SCMN","SWISSCOM AG","Comunicação","Equity","23 267 645,15","0,17","23 267 645,15","31 982,00","727,53","Suíça","SIX Swiss Exchange","CHF"
"KNEBV","KONE","Bens Industriais","Equity","23 134 974,66","0,17","23 134 974,66","420 483,00","55,02","Finlândia","Nasdaq Omx Helsinki Ltd.","EUR"
"MT","ARCELORMITTAL SA","Materiais","Equity","22 954 135,60","0,16","22 954 135,60","527 560,00","43,51","França","Euronext Amsterdam","EUR"
"FRE","FRESENIUS SE AND CO KGAA","Cuidados de saúde","Equity","22 805 007,80","0,16","22 805 007,80","521 615,00","43,72","Alemanha","Xetra","EUR"
"KER","KERING SA","Consumo discricionário","Equity","22 549 116,20","0,16","22 549 116,20","90 814,00","248,30","França","Nyse Euronext - Euronext Paris","EUR"
"NBIS","NEBIUS NV CLASS A","Tecnologia de informação","Equity","22 509 363,48","0,16","22 509 363,48","257 210,00","87,51","Holanda","NASDAQ","USD"
"PHIA","KONINKLIJKE PHILIPS NV","Cuidados de saúde","Equity","22 269 324,24","0,16","22 269 324,24","948 438,00","23,48","Holanda","Euronext Amsterdam","EUR"
"KPN","KONINKLIJKE KPN NV","Comunicação","Equity","22 220 359,98","0,16","22 220 359,98","4 695 765,00","4,73","Holanda","Euronext Amsterdam","EUR"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Consumo discricionário","Equity","22 168 023,76","0,16","22 168 023,76","256 337,00","86,48","Alemanha","Xetra","EUR"
"NSIS B","NOVOZYMES B","Materiais","Equity","22 057 462,71","0,16","22 057 462,71","433 526,00","50,88","Dinamarca","Omx Nordic Exchange Copenhagen A/S","DKK"
"NN","NN GROUP NV","Produtos financeiros","Equity","21 809 039,12","0,16","21 809 039,12","331 243,00","65,84","Holanda","Euronext Amsterdam","EUR"
"A5G","AIB GROUP PLC","Produtos financeiros","Equity","21 563 851,14","0,15","21 563 851,14","2 516 202,00","8,57","Irlanda","Irish Stock Exchange - All Market","EUR"
"SAAB B","SAAB CLASS B","Bens Industriais","Equity","21 541 123,63","0,15","21 541 123,63","396 583,00","54,32","Suécia","Nasdaq Omx Nordic","SEK"
"HBAN","HELVETIA BALOISE HOLDING N AG","Produtos financeiros","Equity","21 453 086,55","0,15","21 453 086,55","98 097,00","218,69","Suíça","SIX Swiss Exchange","CHF"
"HEXA B","HEXAGON CLASS B","Tecnologia de informação","Equity","20 934 653,59","0,15","20 934 653,59","2 550 342,00","8,21","Suécia","Nasdaq Omx Nordic","SEK"
"UMG","UNIVERSAL MUSIC GROUP NV","Comunicação","Equity","20 844 275,54","0,15","20 844 275,54","1 340 037,00","15,56","Holanda","Euronext Amsterdam","EUR"
"NXT","NEXT PLC","Consumo discricionário","Equity","20 775 206,21","0,15","20 775 206,21","145 405,00","142,88","Reino Unido","London Stock Exchange","GBP"
